date,year,district,address,race,sex,age,category,weapon
01/01/2001,2001,23,"24th & Jefferson Sts., Philadelphia, PA",B,M,27,shooting,Firearm
01/01/2001,2001,35,"21st St. & Chelten Ave., Philadelphia, PA",B,M,22,shooting,Firearm
01/01/2001,2001,12,"5728 Kingsessing Ave., Philadelphia, PA",B,M,34,shooting,Firearm
01/01/2001,2001,14,"100 Wyneva St., Philadelphia, PA",B,M,22,shooting,Firearm
01/01/2001,2001,39,"3102 Abbottsford Ave., Philadelphia, PA",B,M,26,shooting,Firearm
01/01/2001,2001,17,"1700 Wharton St., Philadelphia, PA",W,M,20,shooting,Firearm
01/01/2001,2001,04,"5th & Pierce Sts., Philadelphia, PA",B,M,29,shooting,Firearm
01/01/2001,2001,12,"5542 Willows Ave., Philadelphia, PA",B,F,48,shooting,Firearm
01/01/2001,2001,15,"4940 Frankford Ave., Philadelphia, PA",B,M,17,shooting,Firearm
01/02/2001,2001,25,"3413 Germantown Ave., Philadelphia, PA",B,M,27,shooting,Firearm
01/02/2001,2001,12,"8412 Enterprise Ave., Philadelphia, PA",B,F,43,shooting,Firearm
01/02/2001,2001,24,"940 E. Ontario St., Philadelphia, PA",B,M,20,shooting,Firearm
01/02/2001,2001,04,"2700 S. Marshall St., Philadelphia, PA",W,M,20,shooting,Firearm
01/03/2001,2001,12,"5237 Chester Ave., Philadelphia, PA",B,M,25,shooting,Firearm
01/03/2001,2001,14,"5904 Green St., Philadelphia, PA",B,F,06,shooting,Firearm
01/03/2001,2001,16,"3814 Parrish St., Philadelphia, PA",B,M,34,shooting,Firearm
01/04/2001,2001,26,"1515 N. 9th St., Philadelphia, PA",W,M,19,shooting,Firearm
01/04/2001,2001,25,"2nd & Ontario Sts., Philadelphia, PA",W,M,19,shooting,Firearm
01/04/2001,2001,25,"5th & Willard Sts., Philadelphia, PA",W,M,26,shooting,Firearm
01/05/2001,2001,22,"2800 W. Susquehanna Ave., Philadelphia, PA",B,M,17,shooting,Firearm
01/05/2001,2001,15,"4800 Darrah St., Philadelphia, PA",W,M,27,shooting,Firearm
01/05/2001,2001,17,"1500 Dickinson St., Philadelphia, PA",B,M,30,shooting,Firearm
01/05/2001,2001,18,"54th St. & Baltimore Ave., Philadelphia, PA",B,M,35,shooting,Firearm
01/06/2001,2001,25,"7th & Clearfield Sts., Philadelphia, PA",B,M,22,shooting,Firearm
01/06/2001,2001,23,"Jefferson & Myrtlewood Sts., Philadelphia, PA",B,M,28,shooting,Firearm
01/06/2001,2001,26,"546 W. York St., Philadelphia, PA",B,M,22,shooting,Firearm
01/07/2001,2001,39,"3936 Priscilla St., Philadelphia, PA",B,M,38,shooting,Firearm
01/07/2001,2001,25,"Bristol & Franklin Sts., Philadelphia, PA",B,M,20,shooting,Firearm
01/07/2001,2001,15,"1527 Deal St., Philadelphia, PA",W,F,28,shooting,Firearm
01/07/2001,2001,18,"41st & Chestnut Sts., Philadelphia, PA",B,M,51,shooting,Firearm
01/07/2001,2001,39,"15th & Clearfield Sts., Philadelphia, PA",B,M,19,shooting,Firearm
01/07/2001,2001,26,"100 E. Lehigh Ave., Philadelphia, PA",B,M,54,shooting,Firearm
01/07/2001,2001,25,"Bristol & Franklin Sts., Philadelphia, PA",B,F,22,shooting,Firearm
01/08/2001,2001,12,"1600 S. 57th St., Philadelphia, PA",B,M,19,shooting,Firearm
01/08/2001,2001,39,"1400 W. Clearfield St., Philadelphia, PA",B,M,19,shooting,Firearm
01/08/2001,2001,01,"2032 S. Croskey St., Philadelphia, PA",B,M,20,shooting,Firearm
01/10/2001,2001,25,"5th St. & Hunting Pk. Ave., Philadelphia, PA",W,M,31,shooting,Firearm
01/10/2001,2001,25,"5th St. & Wyoming Ave., Philadelphia, PA",B,M,22,shooting,Firearm
01/10/2001,2001,25,"3604 Old York Rd., Philadelphia, PA",B,M,26,shooting,Firearm
01/10/2001,2001,25,"5th St. & Wyoming Ave., Philadelphia, PA",B,M,21,shooting,Firearm
01/10/2001,2001,25,"5th St. & Wyoming Ave., Philadelphia, PA",B,M,25,shooting,Firearm
01/10/2001,2001,26,"2300 N. Hancock St., Philadelphia, PA",B,M,32,shooting,Firearm
01/10/2001,2001,26,"528 W. York St., Philadelphia, PA",B,M,24,shooting,Firearm
01/10/2001,2001,25,"5th St. & Wyoming Ave., Philadelphia, PA",B,M,23,shooting,Firearm
01/10/2001,2001,26,"1050 E. Montgomery Ave., Philadelphia, PA",B,F,24,shooting,Firearm
01/10/2001,2001,19,"1547 N. Felton St., Philadelphia, PA",B,M,36,shooting,Firearm
01/11/2001,2001,25,"700 W. Venango St., Philadelphia, PA",B,M,25,shooting,Firearm
01/11/2001,2001,16,"800 June St., Philadelphia, PA",B,M,23,shooting,Firearm
01/12/2001,2001,25,"2nd St. & Lehigh Ave., Philadelphia, PA",B,F,22,shooting,Firearm
01/12/2001,2001,26,"926 New Market St., Philadelphia, PA",W,M,24,shooting,Firearm
01/12/2001,2001,25,"191 W. Tioga St., Philadelphia, PA",W,M,27,shooting,Firearm
01/12/2001,2001,19,"68th & Media Sts., Philadelphia, PA",B,M,20,shooting,Firearm
01/12/2001,2001,23,"1700 N. 27th St., Philadelphia, PA",B,M,20,shooting,Firearm
01/12/2001,2001,26,"926 New Market St., Philadelphia, PA",B,M,25,shooting,Firearm
01/12/2001,2001,17,"17th & Ellsworth Sts., Philadelphia, PA",B,M,37,shooting,Firearm
01/12/2001,2001,15,"5800 Tulip St., Philadelphia, PA",W,M,50,shooting,Firearm
01/12/2001,2001,26,"926 New Market St., Philadelphia, PA",W,M,26,shooting,Firearm
01/13/2001,2001,01,"1742 Mcclellan St., Philadelphia, PA",W,M,40,shooting,Firearm
01/13/2001,2001,16,"3225 Arch St., Philadelphia, PA",B,M,34,shooting,Firearm
01/14/2001,2001,06,"600 Spring Garden St., Philadelphia, PA",W,M,29,shooting,Firearm
01/14/2001,2001,25,"3413 Germantown Ave., Philadelphia, PA",B,M,24,shooting,Firearm
01/14/2001,2001,25,"3308 Germantown Ave., Philadelphia, PA",B,M,34,shooting,Firearm
01/14/2001,2001,22,"2648 N. Sartain St., Philadelphia, PA",B,M,24,shooting,Firearm
01/14/2001,2001,25,"3308 Germantown Ave., Philadelphia, PA",B,M,39,shooting,Firearm
01/14/2001,2001,25,"3413 Germantown Ave., Philadelphia, PA",B,M,34,shooting,Firearm
01/14/2001,2001,12,"53rd Woodland Ave., Philadelphia, PA",B,M,35,shooting,Firearm
01/15/2001,2001,01,"19th & Dudley Sts., Philadelphia, PA",B,M,21,shooting,Firearm
01/15/2001,2001,26,"8th & Jefferson Sts., Philadelphia, PA",B,M,17,shooting,Firearm
01/16/2001,2001,08,"2840 Michael Rd., Philadelphia, PA",W,M,37,shooting,Firearm
