CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M00008,1/6/2000,2000,26,02059,E,SUSQUEHANNA,25,W,F,N,116,BODY
M00134,6/9/2000,2000,14,05635,,NELSON,1,B,M,N,116,BODY
M00181,8/1/2000,2000,14,00341,E,ARMAT,50,B,F,N,116,BODY
M00182,8/3/2000,2000,25,03902,N,06TH,5,W,F,Y,116,BODY
M00184,8/6/2000,2000,18,04300,,LOCUST,68,W,M,N,116,BODY
M00299,12/5/2000,2000,22,02203,N,VAN PELT,1,B,M,N,116,BODY
M00303,12/13/2000,2000,12,02229,,SHIELDS,1,B,F,N,116,BODY
M00127,5/30/2000,2000,24,03225,,ALMOND,9,W,F,N,116,FABRIC OBJ
M00016,1/11/2000,2000,18,05016,,PINE,12,B,F,N,116,FIRE
M00065,3/4/2000,2000,16,04227,,MANTUA,20,B,F,N,116,FIRE
M00066,3/4/2000,2000,16,04227,,MANTUA,3,B,M,N,116,FIRE
M00071,1/8/2000,2000,26,02625,,EMERALD,33,B,F,N,116,FIRE
M00246,10/18/2000,2000,39,01441,W,CAYUGA,46,B,F,N,116,FIRE
M00124,5/25/2000,2000,92,00206,,LINCOLN DR,18,A,F,N,116,UNKNOWN
M00131,6/2/2000,2000,18,05851,,CHESTNUT,30,B,F,N,116,UNKNOWN
M00140,6/18/2000,2000,23,01456,N,NEWKIRK,32,B,F,N,116,UNKNOWN
M00173,7/27/2000,2000,14,06121,,WAYNE,46,B,F,N,116,UNKNOWN
M00180,7/31/2000,2000,15,05106,,DARRAH,27,B,F,N,116,UNKNOWN
M00294,12/10/2000,2000,17,01733,S,DORRANCE,57,B,M,N,116,UNKNOWN
M00108,5/7/2000,2000,07,08100,,SUMMERDALE,28,W,M,N,115,BODY
M00148,6/28/2000,2000,04,01300,,PATTISON,36,W,M,N,115,BODY
M00258,10/29/2000,2000,12,05847,,WILLOWS,1,B,M,N,115,BODY
M00266,11/10/2000,2000,15,04438,,LEIPER,84,W,M,N,115,METAL OBJ
M00022,1/15/2000,2000,25,03943,N,PERCY,5,B,M,N,115,UNKNOWN
M00044,2/7/2000,2000,25,00622,E,ONTARIO,32,W,M,Y,115,UNKNOWN
M00050,2/12/2000,2000,26,02300,,FRANKFORD,44,W,M,N,115,UNKNOWN
M00067,1/5/2000,2000,18,05316,,WEBSTER,2,B,F,N,115,UNKNOWN
M00098,4/26/2000,2000,39,03571,,LAFAYETTE,28,B,F,N,115,UNKNOWN
M00101,4/25/2000,2000,05,00362,,RIPKA,39,W,M,N,115,UNKNOWN
M00111,4/13/2000,2000,35,00161,W,FERN,2,B,F,N,115,UNKNOWN
M00122,5/23/2000,2000,04,00420,,HOFFMAN,25,B,M,N,115,UNKNOWN
M00185,8/10/2000,2000,35,04940,N,07TH,30,B,F,N,115,UNKNOWN
M00201,8/21/2000,2000,24,00315,E,LEHIGH,39,B,F,N,115,UNKNOWN
M00238,9/30/2000,2000,14,00068,W,JOHNSON,83,B,M,N,115,UNKNOWN
M00269,11/3/2000,2000,14,00209,E,BRINGHURST,50,B,M,N,115,UNKNOWN
M00293,7/22/2000,2000,25,00223,W,ALLEGHENY,29,W,F,N,115,UNKNOWN
M00011,1/8/2000,2000,19,00033,N,YEWDALL,41,B,M,N,114,KNIFE
M00041,2/6/2000,2000,15,06063,,ROOSEVELT BLVD,56,B,M,N,114,KNIFE
M00042,2/6/2000,2000,15,06063,,ROOSEVELT BLVD,63,B,F,N,114,KNIFE
M00045,2/8/2000,2000,15,05504,,LARGE,35,B,M,N,114,KNIFE
M00049,2/10/2000,2000,17,01521,S,STILLMAN,20,B,M,N,114,KNIFE
M00106,5/6/2000,2000,14,00024,E,GARFIELD,41,B,M,N,114,KNIFE
M00109,5/10/2000,2000,39,02818,N,BAILEY,65,B,M,N,114,KNIFE
M00138,6/16/2000,2000,25,02838,N,04TH,40,B,M,N,114,KNIFE
M00149,7/1/2000,2000,39,01940,W,WILLARD,21,B,M,N,114,KNIFE
M00170,7/21/2000,2000,24,00800,E,LYCOMING,35,W,F,Y,114,KNIFE
M00188,8/11/2000,2000,12,01925,S,CECIL,50,B,F,N,114,KNIFE
M00195,8/13/2000,2000,25,00144,W,LURAY,39,W,M,Y,114,KNIFE
M00197,8/15/2000,2000,23,02840,W,CAMBRIDGE,31,B,F,N,114,KNIFE
M00200,8/20/2000,2000,12,02043,S,60TH,33,B,M,N,114,KNIFE
M00207,8/27/2000,2000,25,03500,N,MARSHALL,17,B,M,N,114,KNIFE
M00237,10/1/2000,2000,07,01509,,LOTT,59,B,M,N,114,KNIFE
M00240,10/4/2000,2000,19,00060,N,YEWDALL,22,B,M,N,114,KNIFE
M00255,10/27/2000,2000,18,00229,,BUCKINGHAM,24,B,M,N,114,KNIFE
M00279,11/22/2000,2000,18,04316,,CHESTNUT,18,B,F,N,114,KNIFE
M00300,12/14/2000,2000,25,00600,W,ALLEGHENY,25,B,M,N,114,KNIFE
M00015,1/12/2000,2000,02,06418,,BINGHAM,40,B,F,N,114,UNKNOWN
M00028,1/26/2000,2000,39,03441,N,15TH,23,B,M,N,114,UNKNOWN
M00055,2/22/2000,2000,35,05853,N,CAMAC,22,B,F,N,114,UNKNOWN
M00078,3/24/2000,2000,02,02121,,GLENDALE,31,W,F,N,114,UNKNOWN
M00234,6/4/2000,2000,12,06000,,ANGORA TERR,46,W,M,N,114,UNKNOWN
M00306,12/24/2000,2000,16,00309,N,41ST,35,B,F,N,114,UNKNOWN
M00153,7/9/2000,2000,35,07021,N,15TH,21,B,M,N,113,SHOTGUN
M00318,12/31/2000,2000,22,02400,N,SMEDLEY,51,W,M,Y,112,30-06
M00079,3/25/2000,2000,24,03100,N,FRONT,22,W,M,Y,112,AK-47
M00035,1/31/2000,2000,19,05504,,RACE,13,B,F,N,112,RIFLE
M00156,7/11/2000,2000,25,02853,N,ORIANNA,21,W,F,Y,112,RIFLE
M00190,8/11/2000,2000,22,02930,W,DIAMOND,36,B,M,N,112,RIFLE
M00259,10/31/2000,2000,25,02925,N,ORKNEY,35,W,M,Y,111,.380
M00139,6/18/2000,2000,25,00100,W,ONTARIO,21,B,M,N,111,.40 CAL
M00265,11/8/2000,2000,35,05310,N,MASCHER,53,W,M,Y,111,.40 CAL
M00236,9/30/2000,2000,12,00829,S,51ST,23,B,M,N,111,.40CAL
M00215,9/5/2000,2000,16,00863,N,43RD,16,B,M,N,111,25 AUTO
M00295,12/10/2000,2000,12,01529,S,WILTON,18,B,M,N,111,40CAL
M00205,8/26/2000,2000,26,01924,E,DAUPHIN,24,W,M,Y,111,45CAL
M00133,6/9/2000,2000,18,01408,S,HANSON,32,B,F,N,111,9MM
M00198,8/19/2000,2000,25,00229,W,ALLEGHENY,31,W,M,Y,111,9MM
M00199,8/19/2000,2000,16,00039,N,PAXON,28,B,M,N,111,9MM
M00227,9/16/2000,2000,35,01863,W,CHAMPLOST,19,B,M,N,111,9MM
M00229,9/24/2000,2000,12,06866,,REGENT,24,B,M,N,111,9MM
M00048,2/10/2000,2000,12,05100,,WARRINGTON,30,B,M,N,111,9MM AUTO
M00222,9/11/2000,2000,25,04200,,OLD YORK RD,25,B,M,N,111,9MM AUTO
M00297,12/12/2000,2000,23,02554,,C.B.MOORE,49,B,M,N,111,9MM AUTO
M00298,12/14/2000,2000,25,03062,N,LEITHGOW,36,W,M,N,111,9MM AUTO
M00194,8/12/2000,2000,25,03302,,GERMANTOWN,20,B,M,N,111,AUTO
M00023,1/18/2000,2000,06,01106,,SPRINGGARDEN,25,B,M,N,111,AUTOMATIC
M00024,1/18/2000,2000,06,01106,,SPRINGGARDEN,27,B,M,N,111,AUTOMATIC
