DATE,YEAR,DIST,LOCATION,R,S,L,AGE
01/01/2001,2001,23,24th & Jefferson Sts.,B,M,N,27
01/01/2001,2001,35,21st St. & Chelten Ave.,B,M,N,22
01/01/2001,2001,12,5728 Kingsessing Ave.,B,M,N,34
01/01/2001,2001,14,100 Wyneva St.,B,M,N,22
01/01/2001,2001,39,3102 Abbottsford Ave.,B,M,N,26
01/01/2001,2001,17,1700 Wharton St.,W,M,N,20
01/01/2001,2001,04,5th & Pierce Sts.,B,M,N,29
01/01/2001,2001,12,5542 Willows Ave.,B,F,N,48
01/01/2001,2001,15,4940 Frankford Ave.,B,M,N,17
01/02/2001,2001,25,3413 Germantown Ave.,B,M,N,27
01/02/2001,2001,12,8412 Enterprise Ave.,B,F,N,43
01/02/2001,2001,24,940 E. Ontario St.,B,M,N,20
01/02/2001,2001,04,2700 S. Marshall St.,W,M,N,20
01/03/2001,2001,12,5237 Chester Ave.,B,M,N,25
01/03/2001,2001,14,5904 Green St.,B,F,N,06
01/03/2001,2001,16,3814 Parrish St.,B,M,N,34
01/04/2001,2001,26,1515 N. 9th St.,W,M,Y,19
01/04/2001,2001,25,2nd & Ontario Sts.,W,M,Y,19
01/04/2001,2001,25,5th & Willard Sts.,W,M,Y,26
01/05/2001,2001,22,2800 W. Susquehanna Ave.,B,M,N,17
01/05/2001,2001,15,4800 Darrah St.,W,M,N,27
01/05/2001,2001,17,1500 Dickinson St.,B,M,N,30
01/05/2001,2001,18,54th St. & Baltimore Ave.,B,M,N,35
01/06/2001,2001,25,7th & Clearfield Sts.,B,M,N,22
01/06/2001,2001,23,Jefferson & Myrtlewood Sts.,B,M,N,28
01/06/2001,2001,26,546 W. York St.,B,M,N,22
01/07/2001,2001,39,3936 Priscilla St.,B,M,N,38
01/07/2001,2001,25,Bristol & Franklin Sts.,B,M,N,20
01/07/2001,2001,15,1527 Deal St.,W,F,N,28
01/07/2001,2001,18,41st & Chestnut Sts.,B,M,N,51
01/07/2001,2001,39,15th & Clearfield Sts.,B,M,N,19
01/07/2001,2001,26,100 E. Lehigh Ave.,B,M,N,54
01/07/2001,2001,25,Bristol & Franklin Sts.,B,F,N,22
01/08/2001,2001,12,1600 S. 57th St.,B,M,N,19
01/08/2001,2001,39,1400 W. Clearfield St.,B,M,N,19
01/08/2001,2001,01,2032 S. Croskey St.,B,M,N,20
01/10/2001,2001,25,5th St. & Hunting Pk. Ave.,W,M,Y,31
01/10/2001,2001,25,5th St. & Wyoming Ave.,B,M,N,22
01/10/2001,2001,25,3604 Old York Rd.,B,M,N,26
01/10/2001,2001,25,5th St. & Wyoming Ave.,B,M,N,21
01/10/2001,2001,25,5th St. & Wyoming Ave.,B,M,N,25
01/10/2001,2001,26,2300 N. Hancock St.,B,M,N,32
01/10/2001,2001,26,528 W. York St.,B,M,N,24
01/10/2001,2001,25,5th St. & Wyoming Ave.,B,M,N,23
01/10/2001,2001,26,1050 E. Montgomery Ave.,B,F,N,24
01/10/2001,2001,19,1547 N. Felton St.,B,M,N,36
01/11/2001,2001,25,700 W. Venango St.,B,M,N,25
01/11/2001,2001,16,800 June St.,B,M,N,23
01/12/2001,2001,25,2nd St. & Lehigh Ave.,B,F,N,22
01/12/2001,2001,26,926 New Market St.,W,M,N,24
01/12/2001,2001,25,191 W. Tioga St.,W,M,Y,27
01/12/2001,2001,19,68th & Media Sts.,B,M,N,20
01/12/2001,2001,23,1700 N. 27th St.,B,M,N,20
01/12/2001,2001,26,926 New Market St.,B,M,N,25
01/12/2001,2001,17,17th & Ellsworth Sts.,B,M,N,37
01/12/2001,2001,15,5800 Tulip St.,W,M,N,50
01/12/2001,2001,26,926 New Market St.,W,M,N,26
01/13/2001,2001,01,1742 Mcclellan St.,W,M,N,40
01/13/2001,2001,16,3225 Arch St.,B,M,N,34
01/14/2001,2001,06,600 Spring Garden St.,W,M,N,29
01/14/2001,2001,25,3413 Germantown Ave.,B,M,N,24
01/14/2001,2001,25,3308 Germantown Ave.,B,M,N,34
01/14/2001,2001,22,2648 N. Sartain St.,B,M,N,24
01/14/2001,2001,25,3308 Germantown Ave.,B,M,N,39
01/14/2001,2001,25,3413 Germantown Ave.,B,M,N,34
01/14/2001,2001,12,53rd Woodland Ave.,B,M,N,35
01/15/2001,2001,01,19th & Dudley Sts.,B,M,N,21
01/15/2001,2001,26,8th & Jefferson Sts.,B,M,N,17
01/16/2001,2001,08,2840 Michael Rd.,W,M,N,37
01/16/2001,2001,18,59th & Spruce Sts.,B,M,N,16
01/16/2001,2001,09,559 N. 16th St.,B,M,N,33
01/16/2001,2001,26,2202 E. Cumberland St.,B,M,N,12
01/16/2001,2001,24,2858 N. Lee St.,W,M,N,46
01/17/2001,2001,14,5572 Blakemore St.,B,M,N,21
